id,score
7171737d49b143d1b38883a39e4a5730,599
3af0a449d5424488912e8fb2bf4b9faa,527
eb2cf02e0d5c4d1294dd73e776dbb441,670
9c0f780ecb254670a11aa9e3f10777c5,674
d794eed46c1e44f785a575f18b3023a5,658
18f6a7d824a1421b9da3e5f10854c3df,619
e7b63888a36f499a88811c0936bb12df,639
f995ef4d96fc426191a104421b0f5b20,573
11a3ce45ce234f7db4e91e5f152dc8b8,670
86ebeac087284c87bbcb1281d95ef9eb,584
195ada20e0644bbaa9590b6f2970eaea,651
63d788ea10244942bf7130f63ae78a90,563
4207accd0d9d42d1a990c1b2f3f95c88,648
a3b53661c96c46f6844ac30ca90b76ff,553
a6446d00741343ee92036cd373217655,651
8fb6014618ed48299a2a22648c26b953,621
f3932aec4f7d4b7a8e6b1d186e5a2faa,617
bd4a59e1eabd4b93b63021e6142ae363,648
560d3f89a6614916b6fa0894529cc0ce,646
6225520b8576493d9297d9016dd3b784,591
f73e28d9908e4e28b32521907e3c9b24,542
d5aef6475c4a4a658449895f927e3668,667
6451cc8b7808485295c092f3f6ab96a3,596
4ca166b893d6439da100dbc57c18e5af,587
7742bc4d80c9496bb61df6c638d22594,605
67b7865d70d745eb9d4f43aff3d85e64,649
f0960e3c59cb4f52ac87d79fc4ed3057,665
34f8907caeee48dabb52e28446ffcaf8,644
13095bc658e741eaad99eff134940d2d,604
90ebfc21c6f94c299999a5e0a1ad03de,598
303385252eaf4f2f85c2c6cb95ea218f,664
93a654d8091a40428e7840cf4cf70dc8,646
2a9953b7f68e4f48826f09cd84af138b,639
913476f69a5c4d5bb264134db24eab77,643
e98037a7dcee452ca3e0f504370f0dfd,610
c55dad3891f7454fa3052100e87022c6,642
fe826ff47786453bb9a1a91c2193bac8,565
6ed2aa33142f4b469ae743956ff10351,621
a8969b8132b94ce8adedcab65ed4b0ae,635
1780d8534c844b84b27064adfd795bf4,569
88a996c108b8435785ff14859566a029,626
fc9eae265e1d4cfda372313931660ee2,640
8fcc5931bb97412eb32cca5da79a742f,664
0a7d03c822df4c19a8da7244058402c0,631
7451510dd1e8494299fc8a42c345f8dc,602
527e1de68544436fb6648a4326452bba,603
a385a1fdf2774ddd9cb1109db74ffcf9,672
e82e16b7bdd74bad86b66383ccc2b092,638
ab4fec828a354b198a5f33754af8cf5c,607
9f07122012a7486eb1cec22bda91fae0,599
389e5b9c03884b898890867000b57ddd,646
28ca9a98ac3b4c4e91e00778a5e8ed19,563
e61133453a774378a9e8a01162f3062c,615
408b7be6a8fa49359b7fa488f09e38b4,611
82cff20087a64d59bdc28dbda71d113d,628
32eae0657e374280995b56d79987b546,573
e5feff35697a4f3c8c57f2f203f155b9,608
018e8986c57a4f879bda468ab16a6273,648
16d50df840e949a89d853f8d2900adcd,617
00a2ffc4a86549609dc66e7ef7c624fa,632
bbd066daca8945b1845c04c24a2ba789,603
a3de9c75ab5c42518ac641e1f8a6cdb4,654
dff7278c8e614db08838c71db9d8efb8,644
470203b7f15340b4972e344d020044b2,645
b6ad7b96859846259206607333eefde7,544
87390c76d06e4e4e84b69b1028b43c32,614
2ff0f193260b4f1997fad232867b1cf1,605
00429bc9c9b44130afdf4f39ba072286,495
fb79dd440b824be1b94c9a5a22c14271,651
cfeca03e2b6f46a7be859ed9ec1bf612,618
ca69e7a2900b447a8b80881190bc8998,624
3cdaae87a0d3438aa0a361afa37193a2,630
e52e72e456d74829b487835bed4180dc,613
b89dd9daa22f487f8a1c5aeed6e7361b,629
9bf0638021c04e629888f53c60d869ba,603
4859a219f61a4f2ab700eac18a9a3b3a,539
7fe4642addf94320a7486a0f255f22d0,629
a407ebb03eec4c849ee071fdf86e2c99,629
ad06d2acf7b24046a8c6028124940ae7,614
b1d1f8200cf747428bf70c92f282dd24,626
97436985e7e94290b560a3443f3bb9b7,574
88a73e385e174bf18d7aa1650488e215,641
35dc2690126e49658544116fa5f7726d,611
c56606b10f0849259b84baed6c8cb2dd,629
1f3d3e1cbde24e41be55a80abe3897f8,592
6304e9fcbbd04a79a85ff208f8390235,648
c99998fe35474ea188b851b4ac258773,551
41e217b90682435fb29d2333bd6fa2d9,646
fee99f5580484fddb0d8131a8dde654f,646
c7133548b01c42b7896eac611b6aa620,642
07fb33a6f88440aeaa92b6b194f839e0,605
c6bab06bb48347c0af7f840a32b0aa93,642
d6f444edd1f049a6b162d22c2281cbf6,665
4d0dbac4d2284aa983ed43d85eb6d270,595
b1a25080909645858492a9346ff3045f,600
b0e796e2e3da403f951b544a8d37db85,573
fcbcb8c2a68d4b3497dc0ae17d41489a,549
112d4b57e6074970a14696b50d4a79e1,643
494bfe1903454660a90575e759a75797,554
197e8e90f6ab4d0abef847c8b4df59e6,663
cfb69bba69204a558fc0d5bc8c044c38,567
9c11ef95334a4420879639dda250a37f,643
086956ef8caf45d690da71062aaa24e0,575
23bb16a284eb40b682c19fb6af8e9032,536
093b99c1e91b42e682ecf49c15b4a222,673
5a25107e4b554995ac05d1909e7f37df,636
20f84ced5c3e4b429f7b7f2120f63ed4,651
f1f5ffb6044d472fbf0d999e9ededb32,635
44b87a59f55d4504be2e6bff19a143bb,622
0f84fb843c614e83b0f9d447dd5a4a13,572
9e36e5620fca4250bb948d755bb3d281,617
fe7fd4be014247178d849a96b070c99b,643
9bf43ccd8da74b4ea89af0dd94a499ad,615
32a0302c22b84f489da4566158d95a2d,634
2b9f2f7c5ba546e4b1ea756a130dae03,637
52f10b435c7849068928d0f8f1665e81,641
ae947b1323354231879afdcf21d4f4b3,582
965ec85ed5c646d0b2d5b84213efef09,653
735f18af010a4bf887eb9de56fb9e5ba,655
ed471c09850647b186f6a01e2bd10413,674
98658c2787744a698b5dccdd6b84f41c,650
4236042904184497bb2cd20eb4ca198c,626
42cfa0e1b72348eaa495cfcad36c6a2a,608
f522667654d54849812875bbf3ade949,659
b8856767fd724685aae46e51adfc6613,551
bbf6f7a15126426a82695aa3401c5d5c,601
a032847d65ab42a5bf1cc9341e5bf3da,652
7d62ff87daac41c4b7cba9f0b6e44949,644
c24424d1e14c4946986eb7c4942e11d3,609
a9a54d4f6dcd427bb21f1405d0a19b3a,651
a3f0b740634e4f759ff2fed8dbd8be49,636
2bc69cd09dd94353a23f8a6a0c8a1b92,670
929d138aa8464c33b6469781c13a2060,638
89b04d5806c44cbc9a6b7e2074c77680,660
acbff8b81968402c80de8970c5503ca5,638
48c68242d9064cefaf4998c80f430a70,519
f8db8c9fe0394b8e8486ff2520c871d3,625
4d557f5585fd45518813da0974cf9723,628
32d392a4a4d14fcf9e8e7cae48659ef9,596
983232a0d6e544ceaf0d3ee214b86a8b,607
2e461020c63c49b9903cff6908e06012,563
937f3b8351ec47d18b7672aea4c46670,629
4706cd70ce0d491794ab4b001a8b0190,586
87f0af7be19243318eb8d302ad1c968a,597
8cde8fde60c84621b1b13c4b0aff2525,645
07a8591080aa49fa820ec4ef22d242a9,640
3eb20f1439c947f3bdce9cf9eb7d991a,612
8f8671d16e184d3882fa99ce5b6c0d13,616
7501e1d822644b45929e9569c7add6b7,555
26de7381574243a0945867bb106709ed,639
88c4736ede644268b00d888fdb584d86,606
a04c12455b324e37904b73488d9c4399,642
9d2bba59a9454c1f853ac63211862617,607
80aab099ab0a42fd8f3508622d792947,678
b57f04db12c64ed493ff3f45d9e7bb82,596
d26b615cadfb42bdbc702653504b4368,600
ac53f6aa867943ca87c93d34d3ee1d24,631
24839d837bc243afa341115a8634900d,646
638dac48c8a84d959683ff95b096c820,588
4a4bbbea489c486899d06ee51b5d9f62,649
9cade3a9c03144fd993ecd1f8f1af901,641
44727a02cd11411db8ca2b1ffd7033e6,653
97f6b22db2a544cc806ea2473e7a2fd2,647
3921cb35a00441ae89068c359e21ad54,527
2471caf3da3c4dd7bfa1581016721f1e,636
ca7131c70cb84cce847329bd1dc6f1c1,528
f5e2501364454087bfa266024ace7cdd,611
20d7578c822e4dab94e9504dda1a3087,646
7923bb510e5b41318214b793965a13f2,650
211899ecb6b947e6b944890665c7de74,660
7a18e3be853b4f7fac8cdbeafa4a65b6,616
7e1b73d0892b4862895c2ff19214a344,599
ea70370231204c10a1968e1eeec5ebee,621
5975a9a746c74526bb95fbfe24943340,621
635de079464c4aeebea2d0378dec17e4,641
939aeb87656c48fb9186fffb0134be4e,629
2645f94257474decaa36cbd8e2e44f39,672
ebd887c3ffa34845a991e1e7a52c5470,610
8276aed9971d4b3cb190029b4aeccdb3,626
8b7892587bb64789bd98a4616c600bf2,662
8afdbd9b9bc94f4eb17080220fe856fd,626
2630fa2639934c47b2a4cb1b56e2a484,522
97cad8269a684979b970401f2b7de776,661
